基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
009662,平安研究睿选混合C,1.2861,1.2861,0.19%,7.89%,24.59%,30.28%,---,---,---,---,5.85%,28.61%,28.61%,0.00%
004890,中邮健康文娱混合,2.3989,2.3989,0.94%,13.69%,24.58%,38.30%,31.55%,88.89%,222%,139.65%,10.62%,139.89%,88.8898%,0.15%
001704,国投瑞银进宝灵活配置混合,2.9882,3.0132,-0.87%,9.45%,24.54%,36.35%,51.44%,96.20%,283.30%,175.87%,6.85%,206.2533%,96.2048%,0.15%
001158,工银新材料新能源股票,1.5030,1.5030,1.35%,10.68%,24.52%,45.50%,61.27%,94.94%,185.20%,97.24%,8.44%,50.30%,94.9416%,0.15%
009380,富安达科技领航混合,1.2235,1.2235,0.51%,10.18%,24.48%,27.33%,22.35%,---,---,---,7.57%,22.35%,22.35%,0.15%
009958,长安鑫悦消费混合A,1.3223,1.3223,0.11%,10.15%,24.44%,31.81%,---,---,---,---,7.71%,32.23%,32.23%,0.15%
009959,长安鑫悦消费混合C,1.3203,1.3203,0.11%,10.14%,24.38%,31.62%,---,---,---,---,7.71%,32.03%,32.03%,0.00%
005241,中欧时代智慧混合A,2.4512,2.5518,0.76%,9.94%,24.34%,41.94%,56.23%,103.45%,220.61%,---,8.13%,168.1292%,103.4529%,0.15%
005242,中欧时代智慧混合C,2.3874,2.4880,0.76%,9.93%,24.26%,41.66%,55.63%,101.88%,215.24%,---,8.13%,161.5226%,101.8772%,0.00%
001815,华泰柏瑞激励动力混合A,3.4870,3.5520,0.90%,10.73%,24.23%,26.29%,30.65%,116.32%,242.53%,178.57%,8.66%,265.4893%,116.3151%,0.15%
002082,华泰柏瑞激励动力混合C,3.8630,3.9280,0.91%,10.75%,24.21%,26.20%,30.55%,115.81%,239.46%,174.81%,8.69%,301.2689%,115.8101%,0.00%
002080,前海开源一带一路混合C,2.0040,2.0040,1.16%,10.84%,24.16%,35.50%,38.78%,77.19%,156.92%,112.06%,7.80%,100.40%,77.1883%,0.15%
001209,前海开源一带一路混合A,1.83,1.83,1.16%,10.84%,24.15%,35.46%,38.85%,77.50%,157.38%,112.79%,7.84%,83%,77.4976%,0.15%
004845,南华瑞盈混合发起A,1.4538,1.4538,1.38%,8.09%,24.13%,28.05%,47.15%,78.07%,162.09%,46.01%,6.28%,45.38%,78.0745%,0.10%
003670,中融物联网主题灵活配置混合,1.6858,1.6858,0.38%,10.54%,24.12%,33.42%,41.32%,81.39%,150.79%,53.94%,6.82%,68.58%,81.3858%,0.15%
160643,鹏华空天军工指数(LOF)A,1.7069,1.7069,0.69%,13.02%,24.12%,35.45%,66.53%,96.11%,141.43%,82.05%,8.31%,70.6729%,96.1052%,0.12%
010364,鹏华空天军工指数(LOF)C,1.37,1.37,0.70%,13.03%,24.12%,---,---,---,---,---,8.31%,37%,37%,0.00%
006720,平安核心优势混合A,2.4015,2.4015,1.19%,8.66%,24.09%,28.99%,35.82%,84.50%,---,---,7.01%,140.15%,84.5037%,0.15%
004846,南华瑞盈混合发起C,1.5129,1.5129,1.38%,8.08%,24.06%,27.84%,55.28%,87.82%,175.22%,52.36%,6.27%,51.29%,87.8212%,0.00%
006721,平安核心优势混合C,2.3538,2.3538,1.19%,8.64%,24%,28.71%,35.28%,83.05%,---,---,7%,135.38%,83.0469%,0.00%
008308,华夏见龙精选混合,1.7246,1.7246,0.50%,8.92%,23.96%,41.83%,49.06%,---,---,---,6.44%,72.46%,72.46%,0.15%
000696,汇添富环保行业股票,2.4040,2.4040,-0.70%,9.57%,23.92%,45.26%,64.43%,105.82%,160.17%,60.48%,7.42%,140.40%,105.8219%,0.15%
167001,平安鼎泰混合(LOF),1.4474,1.4474,-0.30%,9.66%,23.92%,34.99%,31.25%,67.39%,142.77%,78.67%,7.62%,44.74%,67.3875%,0.15%
560003,益民创新优势混合,1.7451,1.7651,0.50%,9.45%,23.89%,38.26%,51.33%,96.74%,166.39%,99.35%,8.01%,77.1676%,96.7418%,0.15%
003984,嘉实新能源新材料股票A,2.9861,2.9861,-0.12%,7.80%,23.89%,42.86%,55.23%,108.45%,253.93%,149.34%,5.89%,198.61%,108.4538%,0.15%
003985,嘉实新能源新材料股票C,2.9489,2.9489,-0.12%,7.79%,23.84%,42.67%,54.84%,107.42%,251.86%,147.33%,5.88%,194.89%,107.4207%,0.00%
006049,恒越研究精选混合A/B,2.25,2.25,0.75%,9.02%,23.79%,39.62%,67.14%,96.47%,150.14%,---,6.73%,125%,96.4722%,0.15%
001225,中邮趋势精选灵活配置混合,0.8380,0.8380,0.48%,12.63%,23.78%,35.82%,28.33%,63.67%,91.32%,36.48%,9.69%,-16.20%,63.6719%,0.15%
007192,恒越研究精选混合C,2.2428,2.2428,0.75%,9.02%,23.77%,39.55%,66.97%,96.12%,---,---,6.72%,95.6385%,96.1174%,0.00%
